Categori­a;Propiedad EPM;Propiedad Compartido;Propiedad Cliente;Periodo
Oficial y Exentos - Punta;506.06;487.85;469.64;201901
Oficial y Exentos - Fuera de Punta;500.24;482.03;463.83;201901
Estrato 1 - Rango 0 - CS;216.28;208.18;199.93;201902
Estrato 1 - Rango > CS;512.43;494.18;475.93;201902
Estrato 2 - Rango 0 - CS;270.35;260.22;249.92;201902
Estrato 2 - Rango > CS;512.43;494.18;475.93;201902
Estrato 3 - Rango 0 - CS;435.57;420.05;404.54;201902
Estrato 3 - Rango > CS;512.43;494.18;475.93;201902
Estrato 4 - Todo el consumo;512.43;494.18;475.93;201902
Estrato 5 y 6 - Todo el consumo;614.92;593.02;571.11;201902
Industrial y Comercial;614.92;593.02;571.11;201902
ESPD*;563.67;543.60;523.52;201902
Oficial y Exentos de Contribucion;512.43;494.18;475.93;201902
Industrial y Comercial - Punta;618.20;596.30;574.40;201902
Industrial y Comercial - Fuera de Punta;613.92;592.02;570.12;201902
Oficial y Exentos - Punta;515.17;496.92;478.67;201902
Oficial y Exentos - Fuera de Punta;511.60;493.35;475.10;201902
Estrato 1 - Rango 0 - CS;217.53;209.38;201.09;201903
Estrato 1 - Rango > CS;534.86;516.58;498.29;201903
Estrato 2 - Rango 0 - CS;271.91;261.72;251.36;201903
Estrato 2 - Rango > CS;534.86;516.58;498.29;201903
Estrato 3 - Rango 0 - CS;454.63;439.09;423.55;201903
Estrato 3 - Rango > CS;534.86;516.58;498.29;201903
Estrato 4 - Todo el consumo;534.86;516.58;498.29;201903
Estrato 5 y 6 - Todo el consumo;641.83;619.89;597.95;201903
Industrial y Comercial;641.83;619.89;597.95;201903
ESPD*;588.35;568.23;548.12;201903
Oficial y Exentos de Contribucion;534.86;516.58;498.29;201903
Industrial y Comercial - Punta;649.02;627.08;605.14;201903
Industrial y Comercial - Fuera de Punta;639.27;617.33;595.39;201903
Oficial y Exentos - Punta;540.85;522.57;504.28;201903
Oficial y Exentos - Fuera de Punta;532.73;514.44;496.16;201903
Estrato 1 - Rango 0 - CS;222;213.68;205.22;201904
Estrato 1 - Rango > CS;528.57;509.53;490.5;201904
Estrato 2 - Rango 0 - CS;277.5;267.1;256.53;201904
Estrato 2 - Rango > CS;528.57;509.53;490.5;201904
Estrato 3 - Rango 0 - CS;449.29;433.1;416.92;201904
Estrato 3 - Rango > CS;528.57;509.53;490.5;201904
Estrato 4 - Todo el consumo;528.57;509.53;490.5;201904
Estrato 5 y 6 - Todo el consumo;634.29;611.44;588.6;201904
Industrial y Comercial;634.29;611.44;588.6;201904
ESPD*;581.43;560.49;539.55;201904
Oficial y Exentos de Contribucion;528.57;509.53;490.5;201904
Industrial y Comercial - Punta;632.67;610.65;588.63;201904
Industrial y Comercial - Fuera de Punta;626.40;604.38;582.36;201904
Oficial y Exentos - Punta;527.23;508.87;490.52;201904
Oficial y Exentos - Fuera de Punta;522.00;503.65;485.30;201904
Estrato 1 - Rango 0 - CS;222.36;214.03;205.56;201905
Estrato 1 - Rango > CS;539.21;520.12;501.03;201905
Estrato 2 - Rango 0 - CS;277.95;267.54;256.95;201905
Estrato 2 - Rango > CS;539.21;520.12;501.03;201905
Estrato 3 - Rango 0 - CS;458.33;442.1;425.87;201905
Estrato 3 - Rango > CS;539.21;520.12;501.03;201905
Estrato 4 - Todo el consumo;539.21;520.12;501.03;201905
Estrato 5 y 6 - Todo el consumo;647.05;624.14;601.24;201905
Industrial y Comercial;647.05;624.14;601.24;201905
ESPD*;593.13;572.13;551.13;201905
Oficial y Exentos de Contribucion;539.21;520.12;501.03;201905
Industrial y Comercial - Punta;612.74;590.53;568.31;201905
Industrial y Comercial - Fuera de Punta;605.78;583.56;561.34;201905
Oficial y Exentos - Punta;510.62;492.11;473.59;201905
Oficial y Exentos - Fuera de Punta;504.81;486.30;467.79;201905
Estrato 1 - Rango 0 - CS;222.6;214.26;205.78;201906
Estrato 1 - Rango > CS;519.27;500.22;481.17;201906
Estrato 2 - Rango 0 - CS;278.25;267.83;257.22;201906
Estrato 2 - Rango > CS;519.27;500.22;481.17;201906
Estrato 3 - Rango 0 - CS;441.38;425.18;408.99;201906
Estrato 3 - Rango > CS;519.27;500.22;481.17;201906
Estrato 4 - Todo el consumo;519.27;500.22;481.17;201906
Estrato 5 y 6 - Todo el consumo;623.12;600.26;577.4;201906
Industrial y Comercial;623.12;600.26;577.4;201906
ESPD*;571.19;550.24;529.28;201906
Oficial y Exentos de Contribucion;519.27;500.22;481.17;201906
Industrial y Comercial - Punta;618.18;595.72;573.25;201906
Industrial y Comercial - Fuera de Punta;612.48;590.02;567.55;201906
Oficial y Exentos - Punta;515.15;496.43;477.71;201906
Oficial y Exentos - Fuera de Punta;510.40;491.68;472.96;201906
Estrato 1 - Rango 0 - CS;220.82;212.54;204.13;201907
Estrato 1 - Rango > CS;513.35;494.69;476.04;201907
Estrato 2 - Rango 0 - CS;276.02;265.68;255.16;201907
Estrato 2 - Rango > CS;513.35;494.69;476.04;201907
Estrato 3 - Rango 0 - CS;436.35;420.49;404.64;201907
Estrato 3 - Rango > CS;513.35;494.69;476.04;201907
Estrato 4 - Todo el consumo;513.35;494.69;476.04;201907
Estrato 5 y 6 - Todo el consumo;616.02;593.63;571.25;201907
Industrial y Comercial;616.02;593.63;571.25;201907
ESPD*;564.68;544.16;523.65;201907
Oficial y Exentos de Contribucion;513.35;494.69;476.04;201907
Industrial y Comercial - Punta;621.17;598.79;576.40;201907
Industrial y Comercial - Fuera de Punta;614.24;591.85;569.47;201907
Oficial y Exentos - Punta;517.64;498.99;480.34;201907
Oficial y Exentos - Fuera de Punta;511.87;493.21;474.56;201907
Estrato 1 - Rango 0 - CS;221.31;213.02;204.58;201908
Estrato 1 - Rango > CS;525.5;506.7;487.89;201908
Estrato 2 - Rango 0 - CS;276.64;266.28;255.73;201908
Estrato 2 - Rango > CS;525.5;506.7;487.89;201908
Estrato 3 - Rango 0 - CS;446.68;430.69;414.71;201908
Estrato 3 - Rango > CS;525.5;506.7;487.89;201908
Estrato 4 - Todo el consumo;525.5;506.7;487.89;201908
Estrato 5 y 6 - Todo el consumo;630.6;608.04;585.47;201908
Industrial y Comercial;630.6;608.04;585.47;201908
ESPD*;578.05;557.37;536.68;201908
Oficial y Exentos de Contribucion;525.5;506.7;487.89;201908
Industrial y Comercial - Punta;634.54;611.97;589.41;201908
Industrial y Comercial - Fuera de Punta;629.30;606.74;584.17;201908
Oficial y Exentos - Punta;528.78;509.98;491.17;201908
Oficial y Exentos - Fuera de Punta;524.42;505.62;486.81;201908
Estrato 1 - Rango 0 - CS;221.5;213.21;204.76;201909
Estrato 1 - Rango > CS;520.72;501.78;482.84;201909
Estrato 2 - Rango 0 - CS;276.88;266.51;255.95;201909
Estrato 2 - Rango > CS;520.72;501.78;482.84;201909
Estrato 3 - Rango 0 - CS;442.62;426.52;410.42;201909
Estrato 3 - Rango > CS;520.72;501.78;482.84;201909
Estrato 4 - Todo el consumo;520.72;501.78;482.84;201909
Estrato 5 y 6 - Todo el consumo;624.87;602.14;579.41;201909
Industrial y Comercial;624.87;602.14;579.41;201909
ESPD*;572.8;551.96;531.13;201909
Oficial y Exentos de Contribucion;520.72;501.78;482.84;201909
Industrial y Comercial - Punta;628.95;606.22;583.49;201909
Industrial y Comercial - Fuera de Punta;623.50;600.77;578.04;201909
Oficial y Exentos - Punta;524.12;505.18;486.24;201909
Oficial y Exentos - Fuera de Punta;519.58;500.64;481.70;201909
Estrato 1 - Rango 0 - CS;222;213.68;205.22;201910
Estrato 1 - Rango > CS;528.57;509.53;490.5;201910
Estrato 2 - Rango 0 - CS;277.5;267.1;256.53;201910
Estrato 2 - Rango > CS;528.57;509.53;490.5;201910
Estrato 3 - Rango 0 - CS;449.29;433.1;416.92;201910
Estrato 3 - Rango > CS;528.57;509.53;490.5;201910
Estrato 4 - Todo el consumo;528.57;509.53;490.5;201910
Estrato 5 y 6 - Todo el consumo;634.29;611.44;588.6;201910
Industrial y Comercial;634.29;611.44;588.6;201910
ESPD*;581.43;560.49;539.55;201910
Oficial y Exentos de Contribucion;528.57;509.53;490.5;201910
Industrial y Comercial - Punta;637.24;614.39;591.55;201910
Industrial y Comercial - Fuera de Punta;633.45;610.61;587.76;201910
Oficial y Exentos - Punta;531.03;511.99;492.95;201910
Oficial y Exentos - Fuera de Punta;527.88;508.84;489.8;201910
Estrato 1 - Rango 0 - CS;222.36;214.03;205.56;201911
Estrato 1 - Rango > CS;539.21;520.12;501.03;201911
Estrato 2 - Rango 0 - CS;277.95;267.54;256.95;201911
Estrato 2 - Rango > CS;539.21;520.12;501.03;201911
Estrato 3 - Rango 0 - CS;458.33;442.1;425.87;201911
Estrato 3 - Rango > CS;539.21;520.12;501.03;201911
Estrato 4 - Todo el consumo;539.21;520.12;501.03;201911
Estrato 5 y 6 - Todo el consumo;647.05;624.14;601.24;201911
Industrial y Comercial;647.05;624.14;601.24;201911
ESPD*;593.13;572.13;551.13;201911
Oficial y Exentos de Contribucion;539.21;520.12;501.03;201911
Industrial y Comercial - Punta;651.96;629.05;606.15;201911
Industrial y Comercial - Fuera de Punta;646.07;623.16;600.26;201911
Oficial y Exentos - Punta;543.30;524.21;505.12;201911
Oficial y Exentos - Fuera de Punta;538.39;519.30;500.21;201911
Estrato 1 - Rango 0 - CS;222.6;214.26;205.78;201912
Estrato 1 - Rango > CS;519.27;500.22;481.17;201912
Estrato 2 - Rango 0 - CS;278.25;267.83;257.22;201912
Estrato 2 - Rango > CS;519.27;500.22;481.17;201912
Estrato 3 - Rango 0 - CS;441.38;425.18;408.99;201912
Estrato 3 - Rango > CS;519.27;500.22;481.17;201912
Estrato 4 - Todo el consumo;519.27;500.22;481.17;201912
Estrato 5 y 6 - Todo el consumo;623.12;600.26;577.4;201912
Industrial y Comercial;623.12;600.26;577.4;201912
ESPD*;571.19;550.24;529.28;201912
Oficial y Exentos de Contribucion;519.27;500.22;481.17;201912
Industrial y Comercial - Punta;625.78;602.92;580.06;201912
Industrial y Comercial - Fuera de Punta;622.28;599.42;576.55;201912
Oficial y Exentos - Punta;521.48;502.43;483.38;201912
Oficial y Exentos - Fuera de Punta;518.56;499.51;480.46;201912
Estrato 1 - Rango 0 - CS;223.16;214.8;206.29;202001
Estrato 1 - Rango > CS;520.2;501.14;482.08;202001
Estrato 2 - Rango 0 - CS;278.95;268.5;257.87;202001
Estrato 2 - Rango > CS;520.2;501.14;482.08;202001
Estrato 3 - Rango 0 - CS;442.17;425.97;409.77;202001
Estrato 3 - Rango > CS;520.2;501.14;482.08;202001
Estrato 4 - Todo el consumo;520.2;501.14;482.08;202001
Estrato 5 y 6 - Todo el consumo;624.24;601.37;578.5;202001
Industrial y Comercial;624.24;601.37;578.5;202001
ESPD*;572.22;551.25;530.29;202001
Oficial y Exentos de Contribucion;520.2;501.14;482.08;202001
Industrial y Comercial - Punta;626.93;604.06;581.19;202001
Industrial y Comercial - Fuera de Punta;623.56;600.69;577.82;202001
Oficial y Exentos - Punta;522.44;503.38;484.33;202001
Oficial y Exentos - Fuera de Punta;519.63;500.58;481.52;202001
Estrato 1 - Rango 0 - CS;226.94;217.72;208.50;202002
Estrato 1 - Rango > CS;567.36;544.30;521.24;202002
Estrato 2 - Rango 0 - CS;283.68;272.15;260.62;202002
Estrato 2 - Rango > CS;567.36;544.30;521.24;202002
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202002
Estrato 3 - Rango > CS;567.36;544.30;521.24;202002
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202002
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202002
Industrial y Comercial;680.83;653.16;625.49;202002
ESPD*;624.10;598.73;573.37;202002
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202002
Industrial y Comercial - Punta;682.53;654.86;627.19;202002
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202002
Oficial y Exentos - Punta;568.78;545.72;522.66;202002
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202002
Estrato 1 - Rango 0 - CS;228.46;219.18;209.90;202003
Estrato 1 - Rango > CS;567.36;544.30;521.24;202003
Estrato 2 - Rango 0 - CS;285.58;273.98;262.37;202003
Estrato 2 - Rango > CS;567.36;544.30;521.24;202003
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202003
Estrato 3 - Rango > CS;567.36;544.30;521.24;202003
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202003
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202003
Industrial y Comercial;680.83;653.16;625.49;202003
ESPD*;624.10;598.73;573.37;202003
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202003
Industrial y Comercial - Punta;682.53;654.86;627.19;202003
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202003
Oficial y Exentos - Punta;568.78;545.72;522.66;202003
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202003
Estrato 1 - Rango 0 - CS;229.75;220.41;211.08;202004
Estrato 1 - Rango > CS;567.36;544.30;521.24;202004
Estrato 2 - Rango 0 - CS;287.19;275.52;263.85;202004
Estrato 2 - Rango > CS;567.36;544.30;521.24;202004
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202004
Estrato 3 - Rango > CS;567.36;544.30;521.24;202004
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202004
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202004
Industrial y Comercial;680.83;653.16;625.49;202004
ESPD*;624.10;598.73;573.37;202004
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202004
Industrial y Comercial - Punta;682.53;654.86;627.19;202004
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202004
Oficial y Exentos - Punta;568.78;545.72;522.66;202004
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202004
Estrato 1 - Rango 0 - CS;230.12;220.77;211.42;202005
Estrato 1 - Rango > CS;567.36;544.30;521.24;202005
Estrato 2 - Rango 0 - CS;287.65;275.96;264.27;202005
Estrato 2 - Rango > CS;567.36;544.30;521.24;202005
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202005
Estrato 3 - Rango > CS;567.36;544.30;521.24;202005
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202005
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202005
Industrial y Comercial;680.83;653.16;625.49;202005
ESPD*;624.10;598.73;573.37;202005
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202005
Industrial y Comercial - Punta;682.53;654.86;627.19;202005
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202005
Oficial y Exentos - Punta;568.78;545.72;522.66;202005
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202005
Estrato 1 - Rango 0 - CS;229.38;220.06;210.74;202006
Estrato 1 - Rango > CS;567.36;544.30;521.24;202006
Estrato 2 - Rango 0 - CS;286.73;275.07;263.42;202006
Estrato 2 - Rango > CS;567.36;544.30;521.24;202006
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202006
Estrato 3 - Rango > CS;567.36;544.30;521.24;202006
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202006
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202006
Industrial y Comercial;680.83;653.16;625.49;202006
ESPD*;624.10;598.73;573.37;202006
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202006
Industrial y Comercial - Punta;682.53;654.86;627.19;202006
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202006
Oficial y Exentos - Punta;568.78;545.72;522.66;202006
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202006
Estrato 1 - Rango 0 - CS;228.53;219.24;209.96;202007
Estrato 1 - Rango > CS;567.36;544.30;521.24;202007
Estrato 2 - Rango 0 - CS;285.67;274.06;262.45;202007
Estrato 2 - Rango > CS;567.36;544.30;521.24;202007
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202007
Estrato 3 - Rango > CS;567.36;544.30;521.24;202007
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202007
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202007
Industrial y Comercial;680.83;653.16;625.49;202007
ESPD*;624.10;598.73;573.37;202007
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202007
Industrial y Comercial - Punta;682.53;654.86;627.19;202007
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202007
Oficial y Exentos - Punta;568.78;545.72;522.66;202007
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202007
Estrato 1 - Rango 0 - CS;228.53;219.24;209.96;202008
Estrato 1 - Rango > CS;567.36;544.30;521.24;202008
Estrato 2 - Rango 0 - CS;285.67;274.06;262.45;202008
Estrato 2 - Rango > CS;567.36;544.30;521.24;202008
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202008
Estrato 3 - Rango > CS;567.36;544.30;521.24;202008
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202008
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202008
Industrial y Comercial;680.83;653.16;625.49;202008
ESPD*;624.10;598.73;573.37;202008
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202008
Industrial y Comercial - Punta;682.53;654.86;627.19;202008
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202008
Oficial y Exentos - Punta;568.78;545.72;522.66;202008
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202008
Estrato 1 - Rango 0 - CS;228.51;219.22;209.94;202009
Estrato 1 - Rango > CS;567.36;544.30;521.24;202009
Estrato 2 - Rango 0 - CS;285.64;274.03;262.42;202009
Estrato 2 - Rango > CS;567.36;544.30;521.24;202009
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202009
Estrato 3 - Rango > CS;567.36;544.30;521.24;202009
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202009
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202009
Industrial y Comercial;680.83;653.16;625.49;202009
ESPD*;624.10;598.73;573.37;202009
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202009
Industrial y Comercial - Punta;682.53;654.86;627.19;202009
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202009
Oficial y Exentos - Punta;568.78;545.72;522.66;202009
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202009
Estrato 1 - Rango 0 - CS;228.51;219.22;209.94;202010
Estrato 1 - Rango > CS;567.36;544.30;521.24;202010
Estrato 2 - Rango 0 - CS;285.64;274.03;262.42;202010
Estrato 2 - Rango > CS;567.36;544.30;521.24;202010
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202010
Estrato 3 - Rango > CS;567.36;544.30;521.24;202010
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202010
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202010
Industrial y Comercial;680.83;653.16;625.49;202010
ESPD*;624.10;598.73;573.37;202010
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202010
Industrial y Comercial - Punta;682.53;654.86;627.19;202010
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202010
Oficial y Exentos - Punta;568.78;545.72;522.66;202010
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202010
Estrato 1 - Rango 0 - CS;228.38;219.10;209.82;202011
Estrato 1 - Rango > CS;567.36;544.30;521.24;202011
Estrato 2 - Rango 0 - CS;285.48;273.87;262.27;202011
Estrato 2 - Rango > CS;567.36;544.30;521.24;202011
Estrato 3 - Rango 0 - CS;482.26;462.66;443.05;202011
Estrato 3 - Rango > CS;567.36;544.30;521.24;202011
Estrato 4 - Todo el consumo;567.36;544.30;521.24;202011
Estrato 5 y 6 - Todo el consumo;680.83;653.16;625.49;202011
Industrial y Comercial;680.83;653.16;625.49;202011
ESPD*;624.10;598.73;573.37;202011
Oficial y Exentos de Contribucion;567.36;544.30;521.24;202011
Industrial y Comercial - Punta;682.53;654.86;627.19;202011
Industrial y Comercial - Fuera de Punta;680.60;652.93;625.26;202011
Oficial y Exentos - Punta;568.78;545.72;522.66;202011
Oficial y Exentos - Fuera de Punta;567.17;544.11;521.05;202011
Estrato 1 - Rango 0 - CS;228.08;218.81;209.54;202012
Estrato 1 - Rango > CS;570.20;547.02;523.85;202012
Estrato 2 - Rango 0 - CS;285.10;273.51;261.92;202012
Estrato 2 - Rango > CS;570.20;547.02;523.85;202012
Estrato 3 - Rango 0 - CS;484.67;464.97;445.27;202012
Estrato 3 - Rango > CS;570.20;547.02;523.85;202012
Estrato 4 - Todo el consumo;570.20;547.02;523.85;202012
Estrato 5 y 6 - Todo el consumo;684.23;656.43;628.62;202012
Industrial y Comercial;684.23;656.43;628.62;202012
ESPD*;627.22;601.72;576.23;202012
Oficial y Exentos de Contribucion;570.20;547.02;523.85;202012
Industrial y Comercial - Punta;685.95;658.14;630.33;202012
Industrial y Comercial - Fuera de Punta;684.01;656.20;628.39;202012
Oficial y Exentos - Punta;571.62;548.45;525.27;202012
Oficial y Exentos - Fuera de Punta;570.00;546.83;523.66;202012
Estrato 1 - Rango 0 - CS;229.22;219.90;210.59;202101
Estrato 1 - Rango > CS;573.05;549.76;526.47;202101
Estrato 2 - Rango 0 - CS;286.52;274.88;263.23;202101
Estrato 2 - Rango > CS;573.05;549.76;526.47;202101
Estrato 3 - Rango 0 - CS;487.09;467.29;447.50;202101
Estrato 3 - Rango > CS;573.05;549.76;526.47;202101
Estrato 4 - Todo el consumo;573.05;549.76;526.47;202101
Estrato 5 y 6 - Todo el consumo;687.66;659.71;631.76;202101
Industrial y Comercial;687.66;659.71;631.76;202101
ESPD*;630.35;604.73;579.11;202101
Oficial y Exentos de Contribucion;573.05;549.76;526.47;202101
Industrial y Comercial - Punta;689.38;661.43;633.48;202101
Industrial y Comercial - Fuera de Punta;687.43;659.48;631.53;202101
Oficial y Exentos - Punta;574.48;551.19;527.90;202101
Oficial y Exentos - Fuera de Punta;572.85;549.56;526.27;202101
Estrato 1 - Rango 0 - CS;230.59;221.22;211.85;202102
Estrato 1 - Rango > CS;576.49;553.05;529.62;202102
Estrato 2 - Rango 0 - CS;288.24;276.53;264.81;202102
Estrato 2 - Rango > CS;576.49;553.05;529.62;202102
Estrato 3 - Rango 0 - CS;490.01;470.10;450.18;202102
Estrato 3 - Rango > CS;576.49;553.05;529.62;202102
Estrato 4 - Todo el consumo;576.49;553.05;529.62;202102
Estrato 5 y 6 - Todo el consumo;691.78;663.67;635.55;202102
Industrial y Comercial;691.78;663.67;635.55;202102
ESPD*;634.13;608.36;582.59;202102
Oficial y Exentos de Contribucion;576.49;553.05;529.62;202102
Industrial y Comercial - Punta;693.51;665.40;637.28;202102
Industrial y Comercial - Fuera de Punta;691.55;663.43;635.32;202102
Oficial y Exentos - Punta;577.93;554.50;531.07;202102
Oficial y Exentos - Fuera de Punta;576.29;552.86;529.43;202102
Estrato 1 - Rango 0 - CS;231.98;222.55;213.12;202103
Estrato 1 - Rango > CS;579.94;556.37;532.80;202103
Estrato 2 - Rango 0 - CS;289.97;278.19;266.40;202103
Estrato 2 - Rango > CS;579.94;556.37;532.80;202103
Estrato 3 - Rango 0 - CS;492.95;472.92;452.88;202103
Estrato 3 - Rango > CS;579.94;556.37;532.80;202103
Estrato 4 - Todo el consumo;579.94;556.37;532.80;202103
Estrato 5 y 6 - Todo el consumo;695.93;667.65;639.36;202103
Industrial y Comercial;695.93;667.65;639.36;202103
ESPD*;637.94;612.01;586.08;202103
Oficial y Exentos de Contribucion;579.94;556.37;532.80;202103
Industrial y Comercial - Punta;697.67;669.39;641.10;202103
Industrial y Comercial - Fuera de Punta;695.70;667.41;639.13;202103
Oficial y Exentos - Punta;581.40;557.82;534.25;202103
Oficial y Exentos - Fuera de Punta;579.75;556.18;532.61;202103
Estrato 1 - Rango 0 - CS;233.37;223.88;214.40;202104
Estrato 1 - Rango > CS;583.42;559.71;536.00;202104
Estrato 2 - Rango 0 - CS;291.71;279.86;268.00;202104
Estrato 2 - Rango > CS;583.42;559.71;536.00;202104
Estrato 3 - Rango 0 - CS;495.91;475.75;455.60;202104
Estrato 3 - Rango > CS;583.42;559.71;536.00;202104
Estrato 4 - Todo el consumo;583.42;559.71;536.00;202104
Estrato 5 y 6 - Todo el consumo;700.11;671.65;643.20;202104
Industrial y Comercial;700.11;671.65;643.20;202104
ESPD*;641.77;615.68;589.60;202104
Oficial y Exentos de Contribucion;583.42;559.71;536.00;202104
Industrial y Comercial - Punta;701.86;673.41;644.95;202104
Industrial y Comercial - Fuera de Punta;699.87;671.42;642.96;202104
Oficial y Exentos - Punta;584.88;561.17;537.46;202104
Oficial y Exentos - Fuera de Punta;583.23;559.52;535.80;202104
Estrato 1 - Rango 0 - CS;234.77;225.23;215.69;202105
Estrato 1 - Rango > CS;586.92;563.07;539.22;202105
Estrato 2 - Rango 0 - CS;293.46;281.53;269.61;202105
Estrato 2 - Rango > CS;586.92;563.07;539.22;202105
Estrato 3 - Rango 0 - CS;498.89;478.61;458.33;202105
Estrato 3 - Rango > CS;586.92;563.07;539.22;202105
Estrato 4 - Todo el consumo;586.92;563.07;539.22;202105
Estrato 5 y 6 - Todo el consumo;704.31;675.68;647.06;202105
Industrial y Comercial;704.31;675.68;647.06;202105
ESPD*;645.62;619.38;593.14;202105
Oficial y Exentos de Contribucion;586.92;563.07;539.22;202105
Industrial y Comercial - Punta;706.07;677.45;648.82;202105
Industrial y Comercial - Fuera de Punta;704.07;675.45;646.82;202105
Oficial y Exentos - Punta;588.39;564.54;540.68;202105
Oficial y Exentos - Fuera de Punta;586.73;562.87;539.02;202105
Estrato 1 - Rango 0 - CS;236.18;226.58;216.98;202106
Estrato 1 - Rango > CS;590.45;566.45;542.45;202106
Estrato 2 - Rango 0 - CS;295.22;283.22;271.23;202106
Estrato 2 - Rango > CS;590.45;566.45;542.45;202106
Estrato 3 - Rango 0 - CS;501.88;481.48;461.08;202106
Estrato 3 - Rango > CS;590.45;566.45;542.45;202106
Estrato 4 - Todo el consumo;590.45;566.45;542.45;202106
Estrato 5 y 6 - Todo el consumo;708.53;679.74;650.94;202106
Industrial y Comercial;708.53;679.74;650.94;202106
ESPD*;649.49;623.09;596.70;202106
Oficial y Exentos de Contribucion;590.45;566.45;542.45;202106
Industrial y Comercial - Punta;710.31;681.51;652.71;202106
Industrial y Comercial - Fuera de Punta;708.30;679.50;650.70;202106
Oficial y Exentos - Punta;591.92;567.93;543.93;202106
Oficial y Exentos - Fuera de Punta;590.25;566.25;542.25;202106
Estrato 1 - Rango 0 - CS;237.60;227.94;218.28;202107
Estrato 1 - Rango > CS;593.99;569.85;545.71;202107
Estrato 2 - Rango 0 - CS;296.99;284.92;272.85;202107
Estrato 2 - Rango > CS;593.99;569.85;545.71;202107
Estrato 3 - Rango 0 - CS;504.89;484.37;463.85;202107
Estrato 3 - Rango > CS;593.99;569.85;545.71;202107
Estrato 4 - Todo el consumo;593.99;569.85;545.71;202107
Estrato 5 y 6 - Todo el consumo;712.79;683.82;654.85;202107
Industrial y Comercial;712.79;683.82;654.85;202107
ESPD*;653.39;626.83;600.28;202107
Oficial y Exentos de Contribucion;593.99;569.85;545.71;202107
Industrial y Comercial - Punta;714.57;685.60;656.63;202107
Industrial y Comercial - Fuera de Punta;712.55;683.58;654.61;202107
Oficial y Exentos - Punta;595.48;571.33;547.19;202107
Oficial y Exentos - Fuera de Punta;593.79;569.65;545.51;202107
Estrato 1 - Rango 0 - CS;239.02;229.31;219.59;202108
Estrato 1 - Rango > CS;597.55;573.27;548.98;202108
Estrato 2 - Rango 0 - CS;298.78;286.63;274.49;202108
Estrato 2 - Rango > CS;597.55;573.27;548.98;202108
Estrato 3 - Rango 0 - CS;507.92;487.28;466.63;202108
